日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-06-20,良,58,246,16,24,14,2,0.40,北京
2025-06-21,优,50,190,6,17,18,2,0.30,北京
2025-06-22,良,68,222,13,32,22,2,0.37,北京
2025-06-23,轻度污染,117,312,26,51,22,4,0.58,北京
2025-06-24,轻度污染,144,327,34,60,20,3,0.55,北京
2025-06-25,轻度污染,147,321,37,67,17,7,0.83,北京
2025-06-26,轻度污染,126,327,34,67,20,7,0.81,北京
2025-06-27,良,81,260,46,75,18,3,0.77,北京
2025-06-28,良,80,275,33,45,10,2,0.75,北京
2025-06-29,良,94,322,43,50,9,2,0.73,北京
2025-06-30,良,88,325,31,41,11,2,0.63,北京
2025-07-01,良,72,303,20,28,9,2,0.54,北京
2025-07-02,良,68,295,21,31,12,2,0.49,北京
2025-07-03,优,40,123,13,20,9,2,0.49,北京
2025-07-04,良,58,199,22,29,11,2,0.55,北京
2025-07-05,良,66,215,11,17,8,2,0.43,北京
2025-07-06,良,60,168,4,9,10,2,0.24,北京
2025-07-07,良,88,266,14,32,16,4,0.47,北京
2025-07-08,良,81,296,19,34,12,2,0.46,北京
2025-07-09,良,69,293,27,42,13,2,0.62,北京
2025-07-10,优,41,105,18,26,10,2,0.51,北京
2025-07-11,良,57,238,32,46,11,2,0.70,北京
2025-07-12,良,88,319,32,46,13,3,0.61,北京
2025-07-13,优,48,175,7,15,12,2,0.36,北京
2025-07-14,良,74,253,15,34,17,3,0.47,北京
2025-07-15,良,57,166,25,44,16,3,0.57,北京
2025-07-16,优,47,133,21,29,10,2,0.74,北京
2025-07-17,良,53,149,5,11,13,2,0.38,北京
2025-07-18,良,88,260,15,33,16,3,0.58,北京
2025-07-19,良,95,284,33,60,16,3,0.67,北京
2025-07-20,优,46,161,11,17,8,2,0.46,北京
2025-07-21,良,53,242,15,23,12,2,0.45,北京
2025-07-22,良,83,320,24,38,15,2,0.55,北京
2025-07-23,良,81,322,24,36,12,2,0.49,北京
2025-07-24,优,42,193,15,23,10,2,0.45,北京
2025-07-25,优,40,169,15,21,9,2,0.51,北京
2025-07-26,优,48,232,28,39,11,2,0.55,北京
2025-07-27,优,44,183,24,36,13,2,0.52,北京
2025-07-28,优,38,136,15,21,9,2,0.52,北京
2025-07-29,良,52,227,4,6,7,2,0.40,北京
2025-07-30,优,44,145,6,13,14,2,0.34,北京
2025-07-31,优,48,165,15,32,21,3,0.50,北京
2025-08-01,良,76,272,26,45,16,3,0.67,北京
2025-08-02,良,78,289,35,54,15,3,0.69,北京
2025-08-03,良,68,239,16,23,9,2,0.55,北京
2025-08-04,良,61,219,23,33,8,3,0.77,北京
2025-08-05,良,54,217,16,21,8,2,0.66,北京
2025-08-06,良,76,302,19,31,12,2,0.63,北京
2025-08-07,良,60,260,12,21,13,2,0.47,北京
2025-08-08,优,41,147,20,32,16,2,0.60,北京
2025-08-09,优,40,149,7,11,11,2,0.39,北京
2025-08-10,良,62,277,10,23,16,3,0.42,北京
2025-08-11,良,77,302,20,38,13,3,0.46,北京
2025-08-12,良,67,254,23,40,16,3,0.56,北京
2025-08-13,优,50,165,12,18,11,3,0.47,北京
2025-08-14,良,52,207,14,28,17,3,0.51,北京
2025-08-15,良,72,298,29,42,13,3,0.66,北京
2025-08-16,良,53,252,12,17,9,3,0.49,北京
2025-08-17,良,53,251,21,31,11,3,0.63,北京
2025-08-18,良,58,235,23,34,10,3,0.66,北京
2025-08-19,优,42,136,12,20,12,2,0.55,北京
2025-08-20,优,39,142,12,19,9,3,0.61,北京
2025-08-21,优,40,154,19,27,9,3,0.73,北京
2025-08-22,优,42,157,9,20,14,5,0.54,北京
2025-08-23,优,38,124,9,19,11,3,0.45,北京
2025-08-24,优,41,165,8,15,12,3,0.45,北京
2025-08-25,优,47,217,11,21,13,3,0.46,北京
2025-08-26,优,46,196,11,23,13,3,0.46,北京
2025-08-27,优,44,151,11,18,7,3,0.56,北京
2025-08-28,优,42,153,7,11,9,3,0.53,北京
2025-08-29,优,34,81,22,34,16,3,0.65,北京
2025-08-30,优,42,155,19,30,11,3,0.53,北京
2025-08-31,良,54,253,14,25,9,3,0.45,北京
2025-09-01,良,63,254,11,19,9,2,0.40,北京
2025-09-02,良,62,241,25,39,9,2,0.53,北京
2025-09-03,良,73,290,30,43,8,3,0.59,北京
2025-09-04,良,78,297,36,51,11,3,0.65,北京
2025-09-05,优,49,189,33,48,17,3,0.61,北京
2025-09-06,优,36,74,11,21,15,3,0.40,北京
2025-09-07,优,42,108,10,28,19,3,0.35,北京
2025-09-08,优,45,169,8,25,21,3,0.35,北京
2025-09-09,良,80,312,25,54,22,3,0.60,北京
2025-09-10,良,63,276,21,39,16,2,0.50,北京
2025-09-11,良,69,292,33,56,19,3,0.62,北京
2025-09-12,良,66,288,39,65,23,3,0.66,北京
2025-09-13,良,62,285,32,52,20,3,0.63,北京
2025-09-14,优,42,141,14,26,19,2,0.44,北京
2025-09-15,优,26,32,7,20,21,3,0.49,北京
2025-09-16,优,26,30,8,18,16,2,0.39,北京
2025-09-17,优,25,38,4,13,20,3,0.30,北京
2025-09-18,优,30,114,7,20,21,3,0.32,北京
2025-09-19,优,34,148,11,29,23,3,0.39,北京
2025-09-20,优,44,251,15,36,24,3,0.44,北京
2025-09-21,良,54,275,23,46,23,3,0.55,北京
2025-09-22,优,48,254,18,32,16,3,0.49,北京
2025-09-23,优,42,230,23,42,22,2,0.45,北京
2025-09-24,良,52,296,31,53,23,2,0.55,北京
2025-09-25,优,42,204,16,37,28,3,0.56,北京
2025-09-26,优,48,237,19,45,26,3,0.53,北京
2025-09-27,优,50,249,29,51,25,3,0.56,北京
2025-09-28,优,44,191,21,38,22,3,0.53,北京
2025-09-29,优,40,133,12,31,27,3,0.42,北京
2025-09-30,良,52,205,15,35,24,3,0.45,北京
2025-10-01,优,43,142,18,43,30,3,0.49,北京
2025-10-02,优,49,231,20,49,23,3,0.43,北京
2025-10-03,优,41,170,21,41,21,3,0.48,北京
2025-10-04,优,46,213,26,46,23,3,0.54,北京
2025-10-05,优,46,233,26,46,22,3,0.59,北京
2025-10-06,优,27,112,9,18,13,3,0.43,北京
2025-10-07,优,41,205,23,41,21,3,0.50,北京
2025-10-08,优,22,18,9,19,15,3,0.43,北京
2025-10-09,优,20,20,4,6,12,2,0.38,北京
2025-10-10,优,19,15,7,11,15,2,0.40,北京
2025-10-11,优,24,41,11,16,19,3,0.46,北京
2025-10-12,优,33,119,15,33,24,3,0.68,北京
2025-10-13,优,47,231,21,47,28,3,0.70,北京
2025-10-14,优,47,225,26,47,28,3,0.62,北京
2025-10-15,良,60,287,43,71,33,3,0.76,北京
2025-10-16,良,65,308,47,71,25,3,0.89,北京
2025-10-17,优,21,15,15,21,17,3,0.46,北京
2025-10-18,优,24,39,5,9,13,3,0.24,北京
2025-10-19,优,26,73,6,13,11,3,0.23,北京
