日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-06-08,轻度污染,124,308,28,73,12,5,0.40,石家庄
2025-06-09,轻度污染,142,320,37,83,15,7,0.62,石家庄
2025-06-10,良,82,281,20,55,9,3,0.28,石家庄
2025-06-11,轻度污染,125,326,32,97,19,5,0.49,石家庄
2025-06-12,轻度污染,138,319,35,97,10,4,0.48,石家庄
2025-06-13,轻度污染,139,323,35,96,15,4,0.50,石家庄
2025-06-14,良,83,280,30,60,14,2,0.47,石家庄
2025-06-15,良,71,189,11,27,6,2,0.14,石家庄
2025-06-16,良,57,158,10,22,9,2,0.29,石家庄
2025-06-17,良,78,212,16,37,20,5,0.38,石家庄
2025-06-18,中度污染,153,329,32,74,21,5,0.53,石家庄
2025-06-19,良,78,304,24,48,10,2,0.32,石家庄
2025-06-20,良,83,318,32,53,9,2,0.31,石家庄
2025-06-21,良,98,316,20,45,14,3,0.40,石家庄
2025-06-22,良,99,289,16,41,15,5,0.39,石家庄
2025-06-23,轻度污染,111,308,21,48,17,6,0.46,石家庄
2025-06-24,轻度污染,120,310,23,49,15,7,0.46,石家庄
2025-06-25,轻度污染,149,322,29,60,16,7,0.56,石家庄
2025-06-26,轻度污染,106,312,25,43,10,4,0.47,石家庄
2025-06-27,轻度污染,112,328,30,46,8,3,0.42,石家庄
2025-06-28,良,83,289,26,38,7,2,0.47,石家庄
2025-06-29,良,83,299,21,36,9,3,0.42,石家庄
2025-06-30,良,78,310,34,52,8,2,0.48,石家庄
2025-07-01,良,72,302,21,36,6,3,0.48,石家庄
2025-07-02,优,48,201,22,35,9,2,0.38,石家庄
2025-07-03,优,39,117,12,21,6,2,0.41,石家庄
2025-07-04,良,72,268,21,39,9,2,0.53,石家庄
2025-07-05,良,70,230,14,25,4,2,0.39,石家庄
2025-07-06,良,71,224,11,25,8,2,0.32,石家庄
2025-07-07,良,81,251,15,31,9,3,0.45,石家庄
2025-07-08,良,64,225,24,41,7,2,0.49,石家庄
2025-07-09,良,55,234,26,41,9,2,0.47,石家庄
2025-07-10,良,57,260,27,43,8,2,0.39,石家庄
2025-07-11,良,72,302,34,52,11,2,0.44,石家庄
2025-07-12,良,86,314,36,56,11,2,0.49,石家庄
2025-07-13,良,97,320,23,45,8,2,0.48,石家庄
2025-07-14,轻度污染,106,324,25,51,11,2,0.51,石家庄
2025-07-15,轻度污染,112,325,36,63,15,2,0.60,石家庄
2025-07-16,轻度污染,102,325,36,59,8,2,0.51,石家庄
2025-07-17,良,94,303,21,39,8,2,0.43,石家庄
2025-07-18,轻度污染,104,301,20,43,12,3,0.44,石家庄
2025-07-19,轻度污染,109,305,25,49,10,3,0.48,石家庄
2025-07-20,良,85,301,23,35,6,2,0.57,石家庄
2025-07-21,良,75,309,18,32,6,2,0.38,石家庄
2025-07-22,良,88,326,23,40,12,2,0.44,石家庄
2025-07-23,良,67,300,16,30,7,2,0.30,石家庄
2025-07-24,良,53,290,17,33,7,2,0.40,石家庄
2025-07-25,良,56,279,19,38,7,2,0.42,石家庄
2025-07-26,良,72,310,23,46,7,2,0.36,石家庄
2025-07-27,良,76,316,22,43,8,2,0.38,石家庄
2025-07-28,良,72,315,23,44,10,2,0.44,石家庄
2025-07-29,良,64,271,10,21,8,2,0.38,石家庄
2025-07-30,良,78,290,12,30,11,2,0.35,石家庄
2025-07-31,良,86,301,18,40,11,2,0.50,石家庄
2025-08-01,良,82,292,19,43,12,2,0.45,石家庄
2025-08-02,良,96,317,27,53,11,2,0.51,石家庄
2025-08-03,轻度污染,101,325,32,55,10,2,0.62,石家庄
2025-08-04,良,72,271,18,31,9,2,0.50,石家庄
2025-08-05,良,67,252,18,27,7,2,0.55,石家庄
2025-08-06,良,82,316,21,39,11,2,0.60,石家庄
2025-08-07,良,77,300,22,43,13,2,0.49,石家庄
2025-08-08,良,72,302,20,33,8,2,0.51,石家庄
2025-08-09,良,60,288,12,23,7,2,0.40,石家庄
2025-08-10,良,70,306,14,31,15,2,0.37,石家庄
2025-08-11,良,97,327,22,46,13,4,0.60,石家庄
2025-08-12,轻度污染,101,323,30,54,11,2,0.60,石家庄
2025-08-13,良,69,270,20,36,8,2,0.48,石家庄
2025-08-14,良,85,305,29,51,9,2,0.48,石家庄
2025-08-15,良,61,253,33,51,13,2,0.52,石家庄
2025-08-16,优,37,117,9,21,10,2,0.34,石家庄
2025-08-17,良,54,258,14,30,11,2,0.37,石家庄
2025-08-18,良,64,265,30,46,10,2,0.56,石家庄
2025-08-19,良,82,306,31,51,7,2,0.53,石家庄
2025-08-20,优,46,188,11,23,7,2,0.38,石家庄
2025-08-21,良,59,263,19,37,7,2,0.58,石家庄
2025-08-22,良,60,264,13,37,10,3,0.43,石家庄
2025-08-23,优,47,193,11,27,6,2,0.34,石家庄
2025-08-24,优,48,227,9,19,6,2,0.34,石家庄
2025-08-25,良,54,258,16,34,13,3,0.43,石家庄
2025-08-26,良,62,275,17,40,15,3,0.49,石家庄
2025-08-27,优,50,201,31,51,14,2,0.61,石家庄
2025-08-28,优,44,167,14,29,10,2,0.54,石家庄
2025-08-29,优,38,122,16,38,19,3,0.54,石家庄
2025-08-30,良,51,219,15,33,15,3,0.37,石家庄
2025-08-31,良,74,318,21,42,11,4,0.48,石家庄
2025-09-01,良,88,325,25,47,9,4,0.60,石家庄
2025-09-02,良,82,297,30,52,10,3,0.60,石家庄
2025-09-03,良,77,297,21,39,8,3,0.36,石家庄
2025-09-04,良,68,275,17,38,14,3,0.44,石家庄
2025-09-05,优,47,163,22,37,17,2,0.51,石家庄
2025-09-06,优,47,186,18,47,12,3,0.37,石家庄
2025-09-07,良,85,320,23,62,18,6,0.54,石家庄
2025-09-08,良,93,324,24,66,13,3,0.47,石家庄
2025-09-09,轻度污染,101,326,18,42,11,3,0.48,石家庄
2025-09-10,良,88,316,23,54,13,3,0.40,石家庄
2025-09-11,良,72,297,27,55,15,3,0.46,石家庄
2025-09-12,良,55,247,21,43,14,3,0.52,石家庄
2025-09-13,良,78,316,23,47,14,4,0.60,石家庄
2025-09-14,良,100,323,33,67,17,3,0.68,石家庄
2025-09-15,良,70,298,44,91,19,2,0.58,石家庄
2025-09-16,优,50,242,29,51,11,2,0.49,石家庄
2025-09-17,优,26,43,10,25,12,2,0.35,石家庄
2025-09-18,优,32,131,13,32,20,4,0.49,石家庄
2025-09-19,优,42,234,12,24,11,2,0.35,石家庄
2025-09-20,良,52,299,22,45,21,4,0.49,石家庄
2025-09-21,良,58,288,34,65,29,4,0.61,石家庄
2025-09-22,优,47,247,13,23,9,2,0.26,石家庄
2025-09-23,优,40,215,18,33,16,2,0.37,石家庄
